"Day","Gross sales","Discounts","Returns","Net sales","Shipping charges","Return fees","Taxes","Total sales"
"2026-06-01",162.5,0,0,162.5,14,0,0,176.5
"2026-06-02",305.47,0,0,305.47,3.5,0,0,308.97
"2026-06-03",237.11,0,0,237.11,3.5,0,0,240.61
"2026-06-04",25.65,0,0,25.65,3.5,0,0,29.15
"2026-06-05",0,0,0,0,0,0,0,0
"2026-06-06",0,0,0,0,0,0,0,0
"2026-06-07",185.45,0,0,185.45,0,0,0,185.45
"2026-06-08",221.8,0,0,221.8,10.5,0,0,232.3
"2026-06-09",212.91,0,0,212.91,7,0,0,219.91
"2026-06-10",172.5,-17.1,0,155.4,7,0,0,162.4
"2026-06-11",112.4,0,0,112.4,11.45,0,0,123.85
"2026-06-12",324.48,0,0,324.48,17.5,0,0,341.98
"2026-06-13",48.5,0,0,48.5,7,0,0,55.5
"2026-06-14",107.9,0,0,107.9,10.5,0,0,118.4
"2026-06-15",135.5,-8.17,0,127.33,0,0,0,127.33
"2026-06-16",228.5,0,0,228.5,10.5,0,0,239
"2026-06-17",0,0,0,0,0,0,0,0
"2026-06-18",29.5,0,0,29.5,3.5,0,0,33
