Payout Date,Status,Charges,Refunds,Adjustments,Marketplace Sales Tax,Advances,Reserved Funds,Fees,Retried Amount,Total,Currency,Bank Reference
2026-06-26,pending,73.7,0,0.0,0.0,0.0,0.0,2.24,0.0,71.46,GBP,
2026-06-25,in_transit,244.05,0,0.0,0.0,0.0,0.0,5.4,0.0,238.65,GBP,
2026-06-24,in_transit,618.21,0,0.0,0.0,0.0,0.0,14.66,0.0,603.55,GBP,
2026-06-23,paid,33.0,0,0.0,0.0,0.0,0.0,0.81,0.0,32.19,GBP,
2026-06-19,paid,239.0,0,0.0,0.0,0.0,0.0,6.51,0.0,232.49,GBP,
2026-06-18,paid,127.33,0,0.0,0.0,0.0,0.0,2.67,0.0,124.66,GBP,
2026-06-17,paid,515.88,0,0.0,0.0,0.0,0.0,11.94,0.0,503.94,GBP,
2026-06-16,paid,123.85,0,0.0,0.0,0.0,0.0,2.6,0.0,121.25,GBP,
2026-06-15,paid,162.4,0,0.0,0.0,0.0,0.0,4.48,0.0,157.92,GBP,
2026-06-12,paid,219.91,0,0.0,0.0,0.0,0.0,6.27,0.0,213.64,GBP,
2026-06-11,paid,232.3,0,0.0,0.0,0.0,0.0,6.01,0.0,226.29,GBP,
2026-06-10,paid,185.45,0,0.0,0.0,0.0,0.0,3.4,0.0,182.05,GBP,
2026-06-09,paid,29.15,0,0.0,0.0,0.0,0.0,0.75,0.0,28.4,GBP,
2026-06-08,paid,240.61,0,0.0,0.0,0.0,0.0,5.66,0.0,234.95,GBP,
2026-06-05,paid,308.97,0,0.0,0.0,0.0,0.0,7.05,0.0,301.92,GBP,
2026-06-04,paid,176.5,0,0.0,0.0,0.0,0.0,4.0,0.0,172.5,GBP,
2026-06-03,paid,236.25,0,0.0,0.0,0.0,0.0,5.26,0.0,230.99,GBP,
2026-06-02,paid,269.32,0,0.0,0.0,0.0,0.0,5.82,0.0,263.5,GBP,
2026-06-01,paid,552.9,0,0.0,0.0,0.0,0.0,14.77,0.0,538.13,GBP,
2026-05-29,paid,131.65,0,0.0,0.0,0.0,0.0,3.8,0.0,127.85,GBP,
2026-05-28,paid,537.4,0,0.0,0.0,0.0,0.0,11.15,0.0,526.25,GBP,
2026-05-27,paid,384.95,0,0.0,0.0,0.0,0.0,6.79,0.0,378.16,GBP,
2026-05-26,paid,78.3,0,0.0,0.0,0.0,0.0,1.58,0.0,76.72,GBP,
2026-05-22,paid,88.05,0,0.0,0.0,0.0,0.0,1.99,0.0,86.06,GBP,
2026-05-19,paid,50.3,0,0.0,0.0,0.0,0.0,1.11,0.0,49.19,GBP,
2026-05-18,paid,117.6,0,0.0,0.0,0.0,0.0,2.25,0.0,115.35,GBP,
2026-05-15,paid,27.5,98.15,0.0,0.0,0.0,0.0,0.72,0.0,-71.37,GBP,
2026-05-14,paid,71.45,0,0.0,0.0,0.0,0.0,1.46,0.0,69.99,GBP,
2026-05-13,paid,358.9,0,0.0,0.0,0.0,0.0,7.85,0.0,351.05,GBP,
2026-05-12,paid,79.9,0,0.0,0.0,0.0,0.0,1.61,0.0,78.29,GBP,
2026-05-08,paid,27.0,0,0.0,0.0,0.0,0.0,0.71,0.0,26.29,GBP,
2026-05-07,paid,405.28,0,0.0,0.0,0.0,0.0,10.15,0.0,395.13,GBP,
2026-05-06,paid,77.0,0,0.0,0.0,0.0,0.0,1.56,0.0,75.44,GBP,
2026-05-05,paid,43.34,0,0.0,0.0,0.0,0.0,0.99,0.0,42.35,GBP,
2026-05-01,paid,301.59,0,0.0,0.0,0.0,0.0,7.61,0.0,293.98,GBP,
2026-04-30,paid,257.75,0,0.0,0.0,0.0,0.0,6.03,0.0,251.72,GBP,
2026-04-29,paid,364.5,0,0.0,0.0,0.0,0.0,7.95,0.0,356.55,GBP,
2026-04-28,paid,167.0,0,0.0,0.0,0.0,0.0,3.77,0.0,163.23,GBP,
2026-04-27,paid,47.0,0,0.0,0.0,0.0,0.0,1.05,0.0,45.95,GBP,
2026-04-24,paid,239.0,0,0.0,0.0,0.0,0.0,4.56,0.0,234.44,GBP,
2026-04-23,paid,118.0,0,0.0,0.0,0.0,0.0,2.82,0.0,115.18,GBP,
2026-04-22,paid,261.45,0,0.0,0.0,0.0,0.0,5.45,0.0,256.0,GBP,
2026-04-20,paid,129.5,0,0.0,0.0,0.0,0.0,3.72,0.0,125.78,GBP,
2026-04-17,paid,67.5,0,0.0,0.0,0.0,0.0,2.07,0.0,65.43,GBP,
2026-04-16,paid,29.15,0,0.0,0.0,0.0,0.0,1.04,0.0,28.11,GBP,
2026-04-15,paid,229.15,0,0.0,0.0,0.0,0.0,5.89,0.0,223.26,GBP,
2026-04-14,paid,177.4,49.1,0.0,0.0,0.0,0.0,4.96,0.0,123.34,GBP,
2026-04-10,paid,384.75,0,0.0,0.0,0.0,0.0,9.81,0.0,374.94,GBP,
2026-04-09,paid,109.95,0,0.0,0.0,0.0,0.0,3.05,0.0,106.9,GBP,
2026-04-08,paid,124.49,0,0.0,0.0,0.0,0.0,2.61,0.0,121.88,GBP,
2026-04-07,paid,159.3,0,0.0,0.0,0.0,0.0,3.21,0.0,156.09,GBP,
2026-04-02,paid,72.65,0,0.0,0.0,0.0,0.0,1.74,0.0,70.91,GBP,
2026-04-01,paid,239.35,0,0.0,0.0,0.0,0.0,5.32,0.0,234.03,GBP,
2026-03-31,paid,210.18,0,0.0,0.0,0.0,0.0,4.82,0.0,205.36,GBP,
2026-03-30,paid,175.15,0,0.0,0.0,0.0,0.0,3.72,0.0,171.43,GBP,
2026-03-27,paid,94.75,0,0.0,0.0,0.0,0.0,2.11,0.0,92.64,GBP,
2026-03-26,paid,548.13,0,0.0,0.0,0.0,0.0,10.08,0.0,538.05,GBP,
2026-03-25,paid,99.06,0,0.0,0.0,0.0,0.0,2.43,0.0,96.63,GBP,
2026-03-24,paid,182.23,0,0.0,0.0,0.0,0.0,3.85,0.0,178.38,GBP,
2026-03-23,paid,170.43,0,0.0,0.0,0.0,0.0,3.15,0.0,167.28,GBP,
2026-03-20,paid,333.45,0,0.0,0.0,0.0,0.0,9.37,0.0,324.08,GBP,
2026-03-19,paid,27.0,0,0.0,0.0,0.0,0.0,0.71,0.0,26.29,GBP,
2026-03-18,paid,187.61,0,0.0,0.0,0.0,0.0,4.67,0.0,182.94,GBP,
2026-03-17,paid,114.46,0,0.0,0.0,0.0,0.0,2.7,0.0,111.76,GBP,
2026-03-16,paid,71.45,0,0.0,0.0,0.0,0.0,1.46,0.0,69.99,GBP,
2026-03-13,paid,66.6,0,0.0,0.0,0.0,0.0,2.05,0.0,64.55,GBP,
2026-03-12,paid,122.5,0,0.0,0.0,0.0,0.0,2.58,0.0,119.92,GBP,
2026-03-11,paid,226.79,0,0.0,0.0,0.0,0.0,5.61,0.0,221.18,GBP,
2026-03-10,paid,52.5,0,0.0,0.0,0.0,0.0,1.14,0.0,51.36,GBP,
2026-03-09,paid,184.48,0,0.0,0.0,0.0,0.0,4.14,0.0,180.34,GBP,
2026-03-06,paid,75.65,0,0.0,0.0,0.0,0.0,1.79,0.0,73.86,GBP,
